Species,r_value,p_value,stError,euclidean,distribution
Ralstonia solanacearum,0.9261,0.0,0.0,0.057,uniform
Nitrosomonas europaea,0.8918,0.0,1e-05,0.048,uniform
Bordetella avium,0.9469,0.0,0.0,0.054,uniform
Lawsonia intracellularis,0.8569,0.0,1e-05,0.083,uniform
Clostridium difficile,0.9359,0.0,0.0,0.006,uniform
Pseudomonas fluorescens,0.9517,0.0,0.0,0.022,uniform
Rhizobium leguminosarum,0.8437,0.0,1e-05,0.024,uniform
Ralstonia eutropha,0.7993,0.0,2e-05,0.06,uniform
Helicobacter acinonychis,0.9514,0.0,1e-05,0.164,uniform
Bartonella tribocorum,0.9078,0.0,1e-05,0.042,uniform
Listeria welshimeri,0.8892,0.0,0.0,0.013,uniform
Yersinia enterocolitica,0.8885,0.0,0.0,0.018,uniform
Alcanivorax borkumensis,0.904,0.0,1e-05,0.113,uniform
Staphylococcus carnosus,0.9028,0.0,0.0,0.014,uniform
Flavobacterium psychrophilum,0.8585,0.0,0.0,0.009,uniform
Mycobacterium bovis,0.995,0.0,0.0,0.348,uniform
Saccharopolyspora erythraea,0.9456,0.0,0.0,0.006,uniform
Clavibacter michiganensis,0.946,0.0,1e-05,0.075,uniform
Sorangium cellulosum,0.9134,0.0,0.0,0.001,uniform
Burkholderia cenocepacia,0.9869,0.0,1e-05,0.268,uniform
Bordetella petrii,0.9244,0.0,0.0,0.021,uniform
Corynebacterium urealyticum,0.8862,0.0,1e-05,0.077,uniform
Proteus mirabilis,0.786,0.0,1e-05,0.007,uniform
Streptococcus uberis,0.8907,0.0,0.0,0.012,uniform
Nocardia farcinica,0.9173,0.0,1e-05,0.03,uniform
Bacillus clausii,0.9329,0.0,0.0,0.009,uniform
Staphylococcus haemolyticus,0.9198,0.0,0.0,0.011,uniform
Klebsiella pneumoniae,0.7124,0.0,2e-05,0.035,uniform
Symbiobacterium thermophilum,0.8677,0.0,1e-05,0.067,uniform
Bacteroides fragilis,0.8988,0.0,0.0,0.006,uniform
Chlamydia felis,0.9412,0.0,2e-05,0.377,uniform
Magnetospirillum magneticum,0.9275,0.0,0.0,0.02,uniform
Lactobacillus reuteri,0.9591,0.0,1e-05,0.068,uniform
Desulfitobacterium hafniense,0.8331,0.0,0.0,0.006,uniform
Synechococcus elongatus,0.7987,0.0,2e-05,0.077,uniform
Sodalis glossinidius,0.9205,0.0,1e-05,0.036,uniform
Staphylococcus saprophyticus,0.8955,0.0,1e-05,0.017,uniform
Lactobacillus fermentum,0.9239,0.0,1e-05,0.222,uniform
Brevibacillus brevis,0.911,0.0,0.0,0.004,uniform
Rhodococcus erythropolis,0.8421,0.0,1e-05,0.012,uniform
Finegoldia magna,0.8762,0.0,1e-05,0.016,uniform
Orientia tsutsugamushi,0.9148,0.0,1e-05,0.092,uniform
Corynebacterium glutamicum,0.7859,0.0,2e-05,0.076,uniform
Clostridium kluyveri,0.8062,0.0,0.0,0.004,uniform
Kocuria rhizophila,0.9159,0.0,1e-05,0.068,uniform
Gemmatimonas aurantiaca,0.9742,0.0,0.0,0.025,uniform
Nitratiruptor sp,0.9009,0.0,1e-05,0.058,uniform
Sulfurovum sp,0.7156,0.0,2e-05,0.042,uniform
Candidatus Vesicomyosocius,0.8015,0.0,4e-05,0.197,uniform
Bifidobacterium adolescentis,0.9458,0.0,1e-05,0.195,uniform
Lactococcus garvieae,0.9383,0.0,0.0,0.029,uniform
Azorhizobium caulinodans,0.837,0.0,1e-05,0.022,uniform
Burkholderia multivorans,0.8258,0.0,3e-05,0.213,uniform
Pelotomaculum thermopropionicum,0.6132,0.0,5e-05,0.034,uniform
Macrococcus caseolyticus,0.7483,0.0,1e-05,0.027,uniform
Streptomyces griseus,0.9049,0.0,0.0,0.015,uniform
Microcystis aeruginosa,0.8964,0.0,0.0,0.009,uniform
Candidatus Azobacteroides,0.8208,0.0,2e-05,0.087,uniform
Sphingobium japonicum,0.8731,0.0,2e-05,0.104,uniform
Candidatus Ishikawaella,0.9417,0.0,2e-05,0.46,uniform
Desulfovibrio magneticus,0.8601,0.0,1e-05,0.014,uniform
Streptococcus dysgalactiae,0.8512,0.0,1e-05,0.012,uniform
Azospirillum sp,0.8698,0.0,2e-05,0.169,uniform
Kitasatospora setae,0.9298,0.0,0.0,0.01,uniform
Streptococcus intermedius,0.9477,0.0,0.0,0.032,uniform
Hydrogenobacter thermophilus,0.8635,0.0,2e-05,0.133,uniform
Rhodococcus opacus,0.9204,0.0,0.0,0.012,uniform
Acetobacter pasteurianus,0.9353,0.0,1e-05,0.077,uniform
Shewanella violacea,0.8401,0.0,1e-05,0.009,uniform
Deferribacter desulfuricans,0.7939,0.0,1e-05,0.016,uniform
Rothia mucilaginosa,0.9805,0.0,0.0,0.003,uniform
Lactobacillus rhamnosus,0.8868,0.0,1e-05,0.043,uniform
Erysipelothrix rhusiopathiae,0.8907,0.0,1e-05,0.023,uniform
Anaerolinea thermophila,0.791,0.0,1e-05,0.023,uniform
Acidiphilium multivorum,0.9248,0.0,1e-05,0.134,uniform
Oscillibacter valericigenes,0.8689,0.0,1e-05,0.018,uniform
Tetragenococcus halophilus,0.9216,0.0,0.0,0.016,uniform
Arcobacter sp,0.9037,0.0,0.0,0.006,uniform
Amphibacillus xylanus,0.8817,0.0,1e-05,0.019,uniform
Caldisericum exile,0.8859,0.0,1e-05,0.108,uniform
Microbacterium testaceum,0.8692,0.0,1e-05,0.055,uniform
Streptococcus pasteurianus,0.9006,0.0,0.0,0.02,uniform
Ilumatobacter coccineus,0.893,0.0,1e-05,0.015,uniform
Solibacillus silvestris,0.8508,0.0,0.0,0.006,uniform
Komagataeibacter medellinensis,0.8822,0.0,2e-05,0.111,uniform
Candidatus Arthromitus,0.8895,0.0,1e-05,0.042,uniform
Microlunatus phosphovorus,0.9496,0.0,0.0,0.014,uniform
Bradyrhizobium japonicum,0.7191,0.0,1e-05,0.004,uniform
Eggerthella sp,0.9092,0.0,1e-05,0.033,uniform
Sphingobium sp,0.9308,0.0,1e-05,0.052,uniform
Pseudogulbenkiania sp,0.9068,0.0,1e-05,0.024,uniform
Thiolapillus brandeum,0.9149,0.0,1e-05,0.066,uniform
Melissococcus plutonius,0.7821,0.0,1e-05,0.019,uniform
Selenomonas ruminantium,0.8507,0.0,1e-05,0.025,uniform
Actinoplanes missouriensis,0.8228,0.0,1e-05,0.005,uniform
Rubrivivax gelatinosus,0.7951,0.0,1e-05,0.023,uniform
Bifidobacterium catenulatum,0.9516,0.0,1e-05,0.159,uniform
Bifidobacterium pseudocatenulatum,0.7972,0.0,2e-05,0.12,uniform
Bifidobacterium scardovii,0.9235,0.0,1e-05,0.055,uniform
Parascardovia denticolens,0.844,0.0,1e-05,0.06,uniform
Scardovia inopinata,0.9649,0.0,0.0,0.091,uniform
Caldilinea aerophila,0.9611,0.0,0.0,0.015,uniform
Phycisphaera mikurensis,0.896,0.0,1e-05,0.082,uniform
Leptospirillum ferrooxidans,0.8972,0.0,1e-05,0.064,uniform
Helicobacter cinaedi,0.8609,0.0,1e-05,0.062,uniform
Sulfuritalea hydrogenivorans,0.905,0.0,1e-05,0.063,uniform
Plautia stali,0.9585,0.0,0.0,0.042,uniform
Candidatus Pantoea,0.8539,0.0,4e-05,0.25,uniform
Bradyrhizobium oligotrophicum,0.8545,0.0,0.0,0.008,uniform
Thermosulfidibacter takaii,0.9261,0.0,1e-05,0.127,uniform
Enterococcus mundtii,0.9527,0.0,0.0,0.007,uniform
Sulfuricella denitrificans,0.8564,0.0,1e-05,0.048,uniform
Pseudomonas resinovorans,0.8875,0.0,1e-05,0.017,uniform
Adlercreutzia equolifaciens,0.9346,0.0,1e-05,0.085,uniform
Pseudothermotoga elfii,0.8907,0.0,1e-05,0.116,uniform
Pseudothermotoga hypogea,0.8414,0.0,1e-05,0.066,uniform
Thermotoga caldifontis,0.9135,0.0,2e-05,0.17,uniform
Thermotoga profunda,0.905,0.0,1e-05,0.053,uniform
Ichthyobacterium seriolicida,0.8254,0.0,1e-05,0.047,uniform
Comamonadaceae bacterium,0.9561,0.0,1e-05,0.171,uniform
Winogradskyella sp,0.9026,0.0,0.0,0.004,uniform
Streptococcus troglodytae,0.9029,0.0,0.0,0.014,uniform
Alcanivorax sp,0.9023,0.0,1e-05,0.093,uniform
Chryseobacterium sp,0.9194,0.0,0.0,0.006,uniform
Acinetobacter guillouiae,0.8781,0.0,0.0,0.006,uniform
Mycoplasma canadense,0.9519,0.0,1e-05,0.258,uniform
Thioploca ingrica,0.8685,0.0,0.0,0.008,uniform
Vibrio tritonius,0.9421,0.0,0.0,0.018,uniform
Leptolyngbya boryana,0.9261,0.0,0.0,0.007,uniform
Methyloceanibacter caenitepidi,0.9228,0.0,1e-05,0.043,uniform
Mycoplasma arginini,0.9678,0.0,1e-05,0.399,uniform
Lactobacillus hokkaidonensis,0.7877,0.0,2e-05,0.027,uniform
Burkholderiales bacterium,0.9621,0.0,1e-05,0.122,uniform
Asaia bogorensis,0.9406,0.0,1e-05,0.083,uniform
Methylobacterium aquaticum,0.9724,0.0,0.0,0.054,uniform
Sulfurospirillum sp,0.7264,0.0,1e-05,0.021,uniform
Sulfurospirillum cavolei,0.8586,0.0,1e-05,0.048,uniform
Rhodovulum sulfidophilum,0.9284,0.0,1e-05,0.07,uniform
Lactobacillus acetotolerans,0.8686,0.0,1e-05,0.069,uniform
Geminocystis sp,0.8797,0.0,0.0,0.004,uniform
Candidatus Nitrosoglobus,0.9742,0.0,1e-05,0.121,uniform
Sulfuricaulis limicola,0.9525,0.0,1e-05,0.102,uniform
Limnochorda pilosa,0.9461,0.0,1e-05,0.055,uniform
Sulfurifustis variabilis,0.9183,0.0,1e-05,0.038,uniform
Lysobacter enzymogenes,0.8343,0.0,1e-05,0.016,uniform
Caldimicrobium thiodismutans,0.8391,0.0,1e-05,0.052,uniform
Variibacter gotjawalensis,0.9649,0.0,0.0,0.024,uniform
Fischerella sp,0.9077,0.0,0.0,0.003,uniform
Aneurinibacillus soli,0.8736,0.0,1e-05,0.014,uniform
Mucilaginibacter gotjawali,0.876,0.0,0.0,0.003,uniform
Microcella alkaliphila,0.942,0.0,1e-05,0.102,uniform
Halorhodospira halochloris,0.9303,0.0,1e-05,0.139,uniform
Stanieria sp,0.8909,0.0,0.0,0.004,uniform
Filimonas lacunae,0.8928,0.0,0.0,0.001,uniform
Streptomyces laurentii,0.8946,0.0,0.0,0.014,uniform
Aurantimicrobium minutum,0.878,0.0,2e-05,0.247,uniform
Candidatus Endomicrobium,0.8102,0.0,4e-05,0.29,uniform
Hafnia sp,0.9031,0.0,1e-05,0.036,uniform
Sphingobium cloacae,0.9699,0.0,0.0,0.062,uniform
Actinomyces naeslundii,0.9867,0.0,0.0,0.02,uniform
Rothia aeria,0.681,0.0,1e-05,0.025,uniform
Mycoplasma bovigenitalium,0.8845,0.0,2e-05,0.25,uniform
Fusobacterium varium,0.8977,0.0,0.0,0.002,uniform
Neochlamydia sp,0.7496,0.0,2e-05,0.046,uniform
Petrimonas sp,0.8678,0.0,0.0,0.005,uniform
Marinifilaceae bacterium,0.8402,0.0,0.0,0.001,uniform
Thiohalobacter thiocyanaticus,0.8803,0.0,2e-05,0.088,uniform
Mycobacterium shigaense,0.9241,0.0,1e-05,0.039,uniform
Mycobacterium stephanolepidis,0.924,0.0,1e-05,0.039,uniform
Chondrocystis sp,0.8176,0.0,1e-05,0.006,uniform
Ureibacillus thermosphaericus,0.9071,0.0,0.0,0.007,uniform
Vibrio casei,0.8223,0.0,1e-05,0.036,uniform
Vibrio rumoiensis,0.9221,0.0,1e-05,0.029,uniform
Vibrio aphrogenes,0.887,0.0,1e-05,0.046,uniform
Ferriphaselus amnicola,0.938,0.0,1e-05,0.071,uniform
Aquitalea magnusonii,0.8675,0.0,0.0,0.007,uniform
Bacillus halodurans,0.9136,0.0,0.0,0.015,uniform
Mesorhizobium loti,0.908,0.0,0.0,0.007,uniform
Clostridium perfringens,0.8805,0.0,0.0,0.005,uniform
Nostoc sp,0.8434,0.0,0.0,0.004,uniform
Synechocystis sp,0.9314,0.0,0.0,0.022,uniform
Mycoplasma penetrans,0.7784,0.0,2e-05,0.056,uniform
Oceanobacillus iheyensis,0.8963,0.0,0.0,0.007,uniform
Streptomyces avermitilis,0.9399,0.0,0.0,0.01,uniform
Vibrio parahaemolyticus,0.8827,0.0,1e-05,0.039,uniform
Corynebacterium efficiens,0.8567,0.0,1e-05,0.027,uniform
Vibrio vulnificus,0.8445,0.0,1e-05,0.021,uniform
Thermosynechococcus elongatus,0.8947,0.0,1e-05,0.08,uniform
Bradyrhizobium diazoefficiens,0.8773,0.0,0.0,0.007,uniform
Geobacillus kaustophilus,0.9863,0.0,0.0,0.08,uniform
Gloeobacter violaceus,0.9416,0.0,1e-05,0.024,uniform
Francisella tularensis,0.8436,0.0,3e-05,0.169,uniform
Rhodopirellula baltica,0.8871,0.0,0.0,0.005,uniform
Corynebacterium diphtheriae,0.9508,0.0,1e-05,0.057,uniform
Mycoplasma mycoides,0.8149,0.0,2e-05,0.131,uniform
Bordetella parapertussis,0.9905,0.0,0.0,0.103,uniform
Bordetella bronchiseptica,0.9766,0.0,0.0,0.071,uniform
Photorhabdus luminescens,0.9436,0.0,0.0,0.01,uniform
Wolinella succinogenes,0.9001,0.0,1e-05,0.06,uniform
Burkholderia pseudomallei,0.871,0.0,1e-05,0.116,uniform
Bdellovibrio bacteriovorus,0.9362,0.0,1e-05,0.027,uniform
Bartonella henselae,0.9352,0.0,1e-05,0.19,uniform
Bartonella quintana,0.8377,0.0,2e-05,0.157,uniform
Erwinia carotovora,0.9534,0.0,0.0,0.026,uniform
Gluconobacter oxydans,0.8661,0.0,2e-05,0.077,uniform
Burkholderia mallei,0.9851,0.0,0.0,0.314,uniform
Vibrio fischeri,0.8472,0.0,1e-05,0.013,uniform
Streptococcus thermophilus,0.9285,0.0,0.0,0.035,uniform
Dehalococcoides mccartyi,0.9389,0.0,2e-05,0.397,uniform
Ruegeria pomeroyi,0.9645,0.0,0.0,0.062,uniform
Lactobacillus acidophilus,0.9068,0.0,1e-05,0.031,uniform
Shigella dysenteriae,0.9583,0.0,1e-05,0.206,uniform
Shigella boydii,0.9653,0.0,0.0,0.138,uniform
Shigella sonnei,0.9167,0.0,1e-05,0.094,uniform
Rickettsia felis,0.7766,0.0,4e-05,0.213,uniform
Haemophilus influenzae,0.9466,0.0,0.0,0.034,uniform
Pseudomonas savastanoi,0.8008,0.0,1e-05,0.012,uniform
Pseudomonas protegens,0.895,0.0,0.0,0.01,uniform
Psychrobacter arcticus,0.9153,0.0,1e-05,0.04,uniform
Colwellia psychrerythraea,0.9222,0.0,0.0,0.004,uniform
Candidatus Pelagibacter,0.9238,0.0,1e-05,0.11,uniform
Burkholderia thailandensis,0.8868,0.0,2e-05,0.132,uniform
Rickettsia bellii,0.8682,0.0,2e-05,0.111,uniform
Thermobifida fusca,0.9342,0.0,1e-05,0.06,uniform
Dechloromonas aromatica,0.8305,0.0,1e-05,0.014,uniform
Chlorobium luteolum,0.9487,0.0,1e-05,0.062,uniform
Synechococcus sp,0.9722,0.0,1e-05,0.182,uniform
Nitrosospira multiformis,0.8874,0.0,1e-05,0.037,uniform
Ehrlichia canis,0.8987,0.0,2e-05,0.13,uniform
Chlorobium chlorochromatii,0.9005,0.0,1e-05,0.022,uniform
Thiomicrospira crunogena,0.8503,0.0,1e-05,0.053,uniform
Desulfovibrio alaskensis,0.7936,0.0,1e-05,0.036,uniform
Myxococcus xanthus,0.7993,0.0,1e-05,0.005,uniform
Nitrobacter winogradskyi,0.955,0.0,1e-05,0.084,uniform
Thiobacillus denitrificans,0.8168,0.0,2e-05,0.092,uniform
Anabaena variabilis,0.8008,0.0,0.0,0.004,uniform
Mycoplasma capricolum,0.966,0.0,1e-05,0.188,uniform
Nitrosococcus oceani,0.8531,0.0,1e-05,0.039,uniform
Bacteroides vulgatus,0.8501,0.0,0.0,0.001,uniform
Parabacteroides distasonis,0.8737,0.0,0.0,0.001,uniform
Carboxydothermus hydrogenoformans,0.9299,0.0,1e-05,0.051,uniform
Pelobacter carbinolicus,0.8711,0.0,1e-05,0.04,uniform
Geobacter metallireducens,0.9375,0.0,0.0,0.022,uniform
Burkholderia lata,0.9573,0.0,1e-05,0.251,uniform
Sulfurimonas denitrificans,0.875,0.0,1e-05,0.03,uniform
Paenibacillus polymyxa,0.9318,0.0,0.0,0.008,uniform
Hahella chejuensis,0.8379,0.0,0.0,0.005,uniform
Erythrobacter litoralis,0.9646,0.0,1e-05,0.147,uniform
Hyphomonas neptunium,0.944,0.0,1e-05,0.058,uniform
Salinibacter ruber,0.9753,0.0,0.0,0.05,uniform
Rhodospirillum rubrum,0.9565,0.0,0.0,0.04,uniform
Moorella thermoacetica,0.7664,0.0,4e-05,0.116,uniform
Lactobacillus salivarius,0.8312,0.0,1e-05,0.019,uniform
Anaplasma phagocytophilum,0.919,0.0,2e-05,0.288,uniform
Ehrlichia chaffeensis,0.9751,0.0,1e-05,0.353,uniform
Ramlibacter tataouinensis,0.8898,0.0,1e-05,0.052,uniform
Novosphingobium aromaticivorans,0.7912,0.0,2e-05,0.06,uniform
Frankia casuarinae,0.9423,0.0,0.0,0.027,uniform
Rhodopseudomonas palustris,0.9641,0.0,0.0,0.025,uniform
Anaeromyxobacter dehalogenans,0.8723,0.0,1e-05,0.034,uniform
Syntrophus aciditrophicus,0.8564,0.0,1e-05,0.07,uniform
Jannaschia sp,0.9355,0.0,1e-05,0.056,uniform
Rhodoferax ferrireducens,0.8388,0.0,1e-05,0.018,uniform
Janthinobacterium sp,0.9215,0.0,0.0,0.015,uniform
Paraburkholderia xenovorans,0.9065,0.0,1e-05,0.028,uniform
Saccharophagus degradans,0.8562,0.0,1e-05,0.009,uniform
Methylobacillus flagellatus,0.9312,0.0,1e-05,0.047,uniform
Chromohalobacter salexigens,0.9216,0.0,1e-05,0.048,uniform
Shewanella denitrificans,0.9355,0.0,0.0,0.012,uniform
Pseudomonas stutzeri,0.9047,0.0,1e-05,0.027,uniform
Polaromonas sp,0.9084,0.0,1e-05,0.02,uniform
Nitrobacter hamburgensis,0.8856,0.0,1e-05,0.052,uniform
Psychrobacter cryohalolentis,0.9136,0.0,1e-05,0.028,uniform
Mycobacterium ulcerans,0.933,0.0,1e-05,0.101,uniform
Leptospira borgpetersenii,0.9411,0.0,0.0,0.021,uniform
Cupriavidus metallidurans,0.8123,0.0,1e-05,0.057,uniform
Sphingopyxis alaskensis,0.925,0.0,1e-05,0.151,uniform
Deinococcus geothermalis,0.9053,0.0,1e-05,0.123,uniform
Candidatus Koribacter,0.9267,0.0,0.0,0.013,uniform
Arcobacter butzleri,0.8849,0.0,0.0,0.013,uniform
Roseobacter denitrificans,0.9503,0.0,0.0,0.052,uniform
Ruegeria sp,0.9124,0.0,1e-05,0.099,uniform
Clostridium novyi,0.8888,0.0,0.0,0.008,uniform
Cytophaga hutchinsonii,0.8777,0.0,0.0,0.005,uniform
Mycobacterium sp,0.8492,0.0,1e-05,0.02,uniform
Rubrobacter xylanophilus,0.9108,0.0,1e-05,0.061,uniform
Streptococcus sanguinis,0.9831,0.0,0.0,0.025,uniform
Pseudoalteromonas atlantica,0.8761,0.0,0.0,0.006,uniform
Chelativorans sp,0.8455,0.0,1e-05,0.016,uniform
Trichodesmium erythraeum,0.8997,0.0,0.0,0.001,uniform
Granulibacter bethesdensis,0.8993,0.0,1e-05,0.067,uniform
Streptococcus suis,0.9374,0.0,0.0,0.01,uniform
Rickettsia canadensis,0.9344,0.0,2e-05,0.333,uniform
Oenococcus oeni,0.8907,0.0,1e-05,0.045,uniform
Lactobacillus delbrueckii,0.9467,0.0,1e-05,0.157,uniform
Lactobacillus gasseri,0.8155,0.0,2e-05,0.036,uniform
Leuconostoc mesenteroides,0.8357,0.0,1e-05,0.031,uniform
Lactobacillus brevis,0.8763,0.0,2e-05,0.105,uniform
Pediococcus pentosaceus,0.8828,0.0,1e-05,0.038,uniform
Lactobacillus paracasei,0.9099,0.0,1e-05,0.065,uniform
Rhodococcus jostii,0.9168,0.0,0.0,0.011,uniform
Haemophilus somnus,0.7732,0.0,1e-05,0.025,uniform
Shewanella sp,0.8698,0.0,1e-05,0.011,uniform
Shewanella frigidimarina,0.8357,0.0,0.0,0.006,uniform
Syntrophomonas wolfei,0.9049,0.0,1e-05,0.03,uniform
Maricaulis maris,0.8567,0.0,2e-05,0.071,uniform
Nitrosomonas eutropha,0.9447,0.0,1e-05,0.065,uniform
Alkalilimnicola ehrlichii,0.9471,0.0,1e-05,0.106,uniform
Arthrobacter sp,0.947,0.0,0.0,0.027,uniform
Aeromonas hydrophila,0.929,0.0,1e-05,0.032,uniform
Magnetococcus marinus,0.886,0.0,1e-05,0.021,uniform
Shewanella piezotolerans,0.8842,0.0,0.0,0.006,uniform
Candidatus Solibacter,0.938,0.0,0.0,0.004,uniform
Paenarthrobacter aurescens,0.89,0.0,1e-05,0.024,uniform
Syntrophobacter fumaroxidans,0.9085,0.0,1e-05,0.015,uniform
Mycobacterium smegmatis,0.9292,0.0,0.0,0.03,uniform
Acidothermus cellulolyticus,0.9607,0.0,1e-05,0.238,uniform
Pelobacter propionicus,0.901,0.0,1e-05,0.026,uniform
Campylobacter fetus,0.6002,0.0,3e-05,0.036,uniform
Candidatus Ruthia,0.9662,0.0,1e-05,0.233,uniform
Paracoccus denitrificans,0.9664,0.0,1e-05,0.223,uniform
Chlorobium phaeobacteroides,0.9315,0.0,1e-05,0.052,uniform
Bradyrhizobium sp,0.9072,0.0,0.0,0.005,uniform
Shewanella amazonensis,0.8832,0.0,1e-05,0.015,uniform
Nocardioides sp,0.8877,0.0,1e-05,0.041,uniform
Psychromonas ingrahamii,0.912,0.0,0.0,0.007,uniform
Mycobacterium vanbaalenii,0.9358,0.0,0.0,0.016,uniform
Acidovorax citrulli,0.9303,0.0,0.0,0.03,uniform
Dichelobacter nodosus,0.9755,0.0,0.0,0.095,uniform
Marinobacter hydrocarbonoclasticus,0.895,0.0,1e-05,0.029,uniform
Lactobacillus helveticus,0.9361,0.0,1e-05,0.066,uniform
Acinetobacter baumannii,0.8944,0.0,0.0,0.011,uniform
Bartonella bacilliformis,0.8985,0.0,1e-05,0.205,uniform
Desulfovibrio vulgaris,0.8925,0.0,1e-05,0.041,uniform
Polaromonas naphthalenivorans,0.9376,0.0,0.0,0.033,uniform
Acidovorax sp,0.8993,0.0,1e-05,0.053,uniform
Verminephrobacter eiseniae,0.8962,0.0,0.0,0.015,uniform
Halorhodospira halophila,0.9584,0.0,1e-05,0.13,uniform
Methylibium petroleiphilum,0.9399,0.0,1e-05,0.059,uniform
Geobacillus thermodenitrificans,0.9081,0.0,1e-05,0.025,uniform
Bacillus amyloliquefaciens,0.9539,0.0,0.0,0.06,uniform
Shewanella baltica,0.9024,0.0,0.0,0.01,uniform
