Species,r_value,p_value,stError,euclidean,distribution
Chryseobacterium sp,0.8402,0.0,2e-05,0.099,uniform
Acinetobacter guillouiae,0.9619,0.0,1e-05,0.339,uniform
Thioploca ingrica,0.9298,0.0,1e-05,0.34,uniform
Leptolyngbya boryana,0.7649,0.0,5e-05,0.309,uniform
Geminocystis sp,0.8071,0.0,3e-05,0.168,uniform
Lysobacter enzymogenes,0.9755,0.0,1e-05,0.469,uniform
Fischerella sp,0.9784,0.0,0.0,0.271,uniform
Mucilaginibacter gotjawali,0.858,0.0,2e-05,0.196,uniform
Stanieria sp,0.9636,0.0,1e-05,0.227,uniform
Filimonas lacunae,0.922,0.0,1e-05,0.078,uniform
Streptomyces laurentii,0.9935,0.0,0.0,0.196,uniform
Actinomyces naeslundii,0.9911,0.0,0.0,0.021,uniform
Rothia aeria,0.9775,0.0,0.0,0.007,uniform
Fusobacterium varium,0.9412,0.0,1e-05,0.153,uniform
Marinifilaceae bacterium,0.5604,0.0,0.00011,0.046,uniform
Chondrocystis sp,0.8226,0.0,2e-05,0.349,uniform
Ureibacillus thermosphaericus,0.9643,0.0,1e-05,0.421,uniform
Clostridium perfringens,0.8455,0.0,2e-05,0.333,uniform
Nostoc sp,0.9328,0.0,1e-05,0.2,uniform
Bradyrhizobium diazoefficiens,0.9807,0.0,1e-05,0.201,uniform
Rhodopirellula baltica,0.9563,0.0,1e-05,0.256,uniform
Photorhabdus luminescens,0.9577,0.0,1e-05,0.394,uniform
Streptococcus thermophilus,0.9931,0.0,0.0,0.034,uniform
Lactobacillus acidophilus,0.9735,0.0,0.0,0.195,uniform
Haemophilus influenzae,0.9821,0.0,0.0,0.032,uniform
Colwellia psychrerythraea,0.9515,0.0,1e-05,0.199,uniform
Myxococcus xanthus,0.8198,0.0,2e-05,0.193,uniform
Anabaena variabilis,0.8788,0.0,2e-05,0.184,uniform
Bacteroides vulgatus,0.9342,0.0,1e-05,0.161,uniform
Parabacteroides distasonis,0.9689,0.0,1e-05,0.313,uniform
Paenibacillus polymyxa,0.9558,0.0,1e-05,0.416,uniform
Hahella chejuensis,0.9169,0.0,1e-05,0.184,uniform
Lactobacillus salivarius,0.9656,0.0,0.0,0.007,uniform
Saccharophagus degradans,0.9687,0.0,1e-05,0.263,uniform
Shewanella denitrificans,0.958,0.0,1e-05,0.454,uniform
Cytophaga hutchinsonii,0.9877,0.0,0.0,0.32,uniform
Mycobacterium sp,0.9511,0.0,2e-05,0.492,uniform
Streptococcus sanguinis,0.9885,0.0,0.0,0.026,uniform
Pseudoalteromonas atlantica,0.8928,0.0,2e-05,0.451,uniform
Trichodesmium erythraeum,0.9291,0.0,1e-05,0.084,uniform
Streptococcus suis,0.8941,0.0,1e-05,0.247,uniform
Lactobacillus gasseri,0.762,0.0,2e-05,0.144,uniform
Rhodococcus jostii,0.9231,0.0,1e-05,0.397,uniform
Magnetococcus marinus,0.8619,0.0,6e-05,0.438,uniform
Shewanella piezotolerans,0.9701,0.0,1e-05,0.282,uniform
Candidatus Solibacter,0.9134,0.0,1e-05,0.11,uniform
Paenarthrobacter aurescens,0.9636,0.0,1e-05,0.414,uniform
Mycobacterium smegmatis,0.9309,0.0,1e-05,0.295,uniform
Bradyrhizobium sp,0.766,0.0,5e-05,0.107,uniform
Nocardioides sp,0.9309,0.0,2e-05,0.354,uniform
Psychromonas ingrahamii,0.9648,0.0,1e-05,0.434,uniform
Shewanella baltica,0.9562,0.0,1e-05,0.403,uniform
Pseudomonas mendocina,0.9632,0.0,1e-05,0.483,uniform
Flavobacterium johnsoniae,0.9237,0.0,1e-05,0.1,uniform
Roseiflexus sp,0.9622,0.0,1e-05,0.484,uniform
Geobacter uraniireducens,0.9713,0.0,1e-05,0.498,uniform
Clostridium beijerinckii,0.9715,0.0,0.0,0.069,uniform
Alkaliphilus metalliredigens,0.8238,0.0,3e-05,0.193,uniform
Streptococcus gordonii,0.9883,0.0,0.0,0.029,uniform
Clostridium botulinum,0.9791,0.0,0.0,0.19,uniform
Marinomonas sp,0.8884,0.0,3e-05,0.388,uniform
Bacillus cytotoxicus,0.9613,0.0,1e-05,0.336,uniform
Campylobacter concisus,0.9744,0.0,0.0,0.031,uniform
Cyanothece sp,0.9484,0.0,2e-05,0.309,uniform
Lysinibacillus sphaericus,0.9807,0.0,1e-05,0.483,uniform
Frankia sp,0.8552,0.0,3e-05,0.242,uniform
Shewanella sediminis,0.9845,0.0,0.0,0.286,uniform
Acaryochloris marina,0.9791,0.0,0.0,0.281,uniform
Salinispora arenicola,0.941,0.0,2e-05,0.485,uniform
Herpetosiphon aurantiacus,0.9359,0.0,1e-05,0.224,uniform
Lachnoclostridium phytofermentans,0.961,0.0,1e-05,0.141,uniform
Bacillus weihenstephanensis,0.9119,0.0,1e-05,0.279,uniform
Shewanella halifaxensis,0.9009,0.0,2e-05,0.364,uniform
Shewanella woodyi,0.9839,0.0,0.0,0.333,uniform
Opitutus terrae,0.854,0.0,3e-05,0.429,uniform
Nostoc punctiforme,0.7818,0.0,2e-05,0.101,uniform
Ralstonia pickettii,0.9946,0.0,0.0,0.16,uniform
Desulfobacterium autotrophicum,0.959,0.0,1e-05,0.282,uniform
Eubacterium rectale,0.869,0.0,2e-05,0.241,uniform
Desulfatibacillum aliphaticivorans,0.9697,0.0,1e-05,0.376,uniform
Clostridium cellulolyticum,0.9937,0.0,0.0,0.387,uniform
Methylobacterium nodulans,0.9398,0.0,1e-05,0.289,uniform
Nonlabens dokdonensis,0.6194,0.0,9e-05,0.146,uniform
Aggregatibacter aphrophilus,0.966,0.0,0.0,0.009,uniform
Teredinibacter turnerae,0.6739,0.0,9e-05,0.299,uniform
Dyadobacter fermentans,0.6008,0.0,0.00014,0.084,uniform
Actinosynnema mirum,0.8774,0.0,3e-05,0.174,uniform
Capnocytophaga ochracea,0.8539,0.0,2e-05,0.37,uniform
Variovorax paradoxus,0.8607,0.0,4e-05,0.305,uniform
Zunongwangia profunda,0.7463,0.0,5e-05,0.277,uniform
Paenibacillus sp,0.9008,0.0,1e-05,0.093,uniform
Pectobacterium carotovorum,0.9344,0.0,3e-05,0.471,uniform
Clostridium ljungdahlii,0.993,0.0,0.0,0.317,uniform
Pedobacter heparinus,0.9518,0.0,1e-05,0.341,uniform
Slackia heliotrinireducens,0.8861,0.0,4e-05,0.435,uniform
Leptotrichia buccalis,0.8102,0.0,1e-05,0.075,uniform
Chitinophaga pinensis,0.9768,0.0,0.0,0.056,uniform
Catenulispora acidiphila,0.7919,0.0,2e-05,0.056,uniform
Atopobium parvulum,0.9792,0.0,0.0,0.041,uniform
Aggregatibacter actinomycetemcomitans,0.9363,0.0,0.0,0.091,uniform
Kribbella flavida,0.7402,0.0,5e-05,0.284,uniform
Nakamurella multipartita,0.9282,0.0,1e-05,0.37,uniform
Sebaldella termitidis,0.7838,0.0,5e-05,0.21,uniform
Spirosoma linguale,0.983,0.0,0.0,0.118,uniform
Stackebrandtia nassauensis,0.9808,0.0,0.0,0.328,uniform
Haliangium ochraceum,0.9255,0.0,1e-05,0.083,uniform
Butyrivibrio proteoclasticus,0.9685,0.0,1e-05,0.443,uniform
Streptosporangium roseum,0.9709,0.0,0.0,0.085,uniform
Sanguibacter keddieii,0.9633,0.0,1e-05,0.354,uniform
Veillonella parvula,0.9373,0.0,0.0,0.029,uniform
Xylanimonas cellulosilytica,0.8319,0.0,4e-05,0.403,uniform
Mageeibacillus indolicus,0.6784,0.0,9e-05,0.225,uniform
Conexibacter woesei,0.933,0.0,1e-05,0.311,uniform
Geodermatophilus obscurus,0.7788,0.0,6e-05,0.44,uniform
Bacillus pseudofirmus,0.9766,0.0,1e-05,0.456,uniform
Brachyspira murdochii,0.9131,0.0,2e-05,0.32,uniform
Bacillus megaterium,0.9839,0.0,0.0,0.261,uniform
Arcobacter nitrofigilis,0.9016,0.0,2e-05,0.403,uniform
Amycolatopsis mediterranei,0.9711,0.0,0.0,0.118,uniform
Prevotella ruminicola,0.6316,0.0,2e-05,0.028,uniform
Herbaspirillum seropedicae,0.8651,0.0,4e-05,0.491,uniform
Streptomyces bingchenggensis,0.9133,0.0,1e-05,0.061,uniform
'Nostoc azollae',0.931,0.0,1e-05,0.437,uniform
Clostridium saccharolyticum,0.9512,0.0,1e-05,0.236,uniform
Sediminispirochaeta smaragdinae,0.6885,0.0,9e-05,0.231,uniform
Prevotella melaninogenica,0.9695,0.0,0.0,0.035,uniform
Maribacter sp,0.9923,0.0,0.0,0.38,uniform
Clostridium cellulovorans,0.9472,0.0,0.0,0.088,uniform
Stigmatella aurantiaca,0.5997,0.0,9e-05,0.042,uniform
Rothia dentocariosa,0.9897,0.0,0.0,0.027,uniform
Achromobacter xylosoxidans,0.9814,0.0,0.0,0.32,uniform
Frankia inefficax,0.8638,0.0,2e-05,0.304,uniform
Marivirga tractuosa,0.9587,0.0,1e-05,0.217,uniform
Bacteroides helcogenes,0.9244,0.0,0.0,0.08,uniform
Pseudarthrobacter phenanthrenivorans,0.985,0.0,0.0,0.385,uniform
Filifactor alocis,0.9436,0.0,1e-05,0.147,uniform
Bacillus cellulosilyticus,0.8924,0.0,2e-05,0.293,uniform
Cellulophaga algicola,0.8965,0.0,1e-05,0.125,uniform
Streptomyces pratensis,0.8827,0.0,2e-05,0.366,uniform
Glaciecola sp,0.7207,0.0,5e-05,0.189,uniform
Bacteroides salanitronis,0.8969,0.0,1e-05,0.107,uniform
Cellulophaga lytica,0.8856,0.0,2e-05,0.353,uniform
Fluviicola taffensis,0.9821,0.0,0.0,0.353,uniform
Odoribacter splanchnicus,0.9435,0.0,1e-05,0.1,uniform
Pseudopedobacter saltans,0.7696,0.0,5e-05,0.366,uniform
Lactobacillus amylovorus,0.902,0.0,1e-05,0.216,uniform
Clostridium lentocellum,0.9703,0.0,0.0,0.124,uniform
Sphingobacterium sp,0.9754,0.0,0.0,0.188,uniform
Pseudomonas brassicacearum,0.9251,0.0,2e-05,0.453,uniform
Prevotella denticola,0.9665,0.0,0.0,0.021,uniform
Pseudonocardia dioxanivorans,0.9323,0.0,2e-05,0.268,uniform
Cellulomonas fimi,0.9962,0.0,0.0,0.371,uniform
Haliscomenobacter hydrossis,0.9336,0.0,1e-05,0.102,uniform
Pseudopropionibacterium propionicum,0.8208,0.0,3e-05,0.387,uniform
Bifidobacterium breve,0.9828,0.0,0.0,0.309,uniform
Lactobacillus kefiranofaciens,0.739,0.0,4e-05,0.324,uniform
Lacinutrix sp,0.9942,0.0,0.0,0.416,uniform
Myxococcus macrosporus,0.9093,0.0,1e-05,0.272,uniform
Saprospira grandis,0.941,0.0,1e-05,0.494,uniform
Streptococcus parasanguinis,0.9777,0.0,0.0,0.029,uniform
Runella slithyformis,0.8591,0.0,2e-05,0.216,uniform
Paenibacillus mucilaginosus,0.9624,0.0,1e-05,0.153,uniform
Brachyspira intermedia,0.9854,0.0,0.0,0.333,uniform
Streptococcus pseudopneumoniae,0.9834,0.0,0.0,0.03,uniform
Cyclobacterium marinum,0.9123,0.0,1e-05,0.172,uniform
Emticicia oligotrophica,0.978,0.0,0.0,0.198,uniform
Acetobacterium woodii,0.9717,0.0,1e-05,0.452,uniform
Streptomyces violaceusniger,0.9859,0.0,0.0,0.125,uniform
Muricauda ruestringensis,0.9137,0.0,2e-05,0.441,uniform
Streptococcus lutetiensis,0.993,0.0,0.0,0.19,uniform
Roseburia hominis,0.9183,0.0,2e-05,0.491,uniform
Glaciecola nitratireducens,0.9746,0.0,0.0,0.368,uniform
Clostridium clariflavum,0.9864,0.0,0.0,0.225,uniform
Paenibacillus terrae,0.9918,0.0,0.0,0.402,uniform
Desulfosporosinus orientis,0.9423,0.0,1e-05,0.212,uniform
Mycobacterium rhodesiae,0.9956,0.0,0.0,0.398,uniform
Actinoplanes sp,0.9556,0.0,1e-05,0.29,uniform
Niastella koreensis,0.8599,0.0,1e-05,0.066,uniform
Tannerella forsythia,0.9816,0.0,0.0,0.102,uniform
Flavobacterium columnare,0.9528,0.0,1e-05,0.498,uniform
Clostridium sp,0.9845,0.0,0.0,0.246,uniform
Clostridium pasteurianum,0.9313,0.0,1e-05,0.134,uniform
Streptomyces hygroscopicus,0.7956,0.0,3e-05,0.188,uniform
Belliella baltica,0.9766,0.0,1e-05,0.35,uniform
Anabaena sp,0.9468,0.0,1e-05,0.378,uniform
Streptococcus infantarius,0.9834,0.0,0.0,0.162,uniform
Gottschalkia acidurici,0.9683,0.0,1e-05,0.428,uniform
Bernardetia litoralis,0.9674,0.0,0.0,0.087,uniform
Echinicola vietnamensis,0.9604,0.0,1e-05,0.262,uniform
Solitalea canadensis,0.9142,0.0,1e-05,0.178,uniform
Desulfomonile tiedjei,0.9072,0.0,1e-05,0.476,uniform
Singulisphaera acidiphila,0.9548,0.0,0.0,0.142,uniform
Prevotella dentalis,0.7849,0.0,2e-05,0.204,uniform
Terriglobus roseus,0.9623,0.0,1e-05,0.395,uniform
Corallococcus coralloides,0.6979,0.0,5e-05,0.071,uniform
Amycolatopsis keratiniphila,0.9573,0.0,1e-05,0.428,uniform
Providencia stuartii,0.8739,0.0,2e-05,0.469,uniform
Prevotella intermedia,0.9757,0.0,0.0,0.257,uniform
Rivularia sp,0.9511,0.0,0.0,0.058,uniform
Flammeovirga sp,0.9907,0.0,0.0,0.188,uniform
Pleurocapsa sp,0.9922,0.0,0.0,0.328,uniform
Chroococcidiopsis thermalis,0.8692,0.0,2e-05,0.259,uniform
Oscillatoria acuminata,0.8427,0.0,3e-05,0.198,uniform
Oscillatoria nigro,0.9504,0.0,1e-05,0.19,uniform
Crinalium epipsammum,0.854,0.0,2e-05,0.358,uniform
Desulfosporosinus meridiei,0.9529,0.0,1e-05,0.441,uniform
Microcoleus sp,0.8337,0.0,2e-05,0.342,uniform
Gloeocapsa sp,0.928,0.0,2e-05,0.351,uniform
Stanieria cyanosphaera,0.9747,0.0,0.0,0.247,uniform
Anabaena cylindrica,0.792,0.0,2e-05,0.089,uniform
Octadecabacter antarcticus,0.6998,0.0,0.00021,0.289,uniform
Streptococcus constellatus,0.9718,0.0,0.0,0.032,uniform
Paraglaciecola psychrophila,0.9665,0.0,1e-05,0.291,uniform
Alteromonas macleodii,0.9927,0.0,0.0,0.461,uniform
Streptococcus anginosus,0.9866,0.0,0.0,0.023,uniform
Nocardia brasiliensis,0.727,0.0,4e-05,0.124,uniform
Psychroflexus torquis,0.9418,0.0,1e-05,0.423,uniform
Bacillus lehensis,0.9584,0.0,1e-05,0.302,uniform
Enterobacteriaceae bacterium,0.6973,0.0,0.00021,0.445,uniform
Calothrix sp,0.9701,0.0,1e-05,0.166,uniform
Leptolyngbya sp,0.9054,0.0,2e-05,0.419,uniform
Cyanobacterium aponinum,0.9215,0.0,1e-05,0.284,uniform
Myxococcus stipitatus,0.9161,0.0,1e-05,0.164,uniform
Clostridium saccharoperbutylacetonicum,0.9667,0.0,0.0,0.056,uniform
Flammeovirgaceae bacterium,0.956,0.0,1e-05,0.135,uniform
Streptococcus cristatus,0.9775,0.0,0.0,0.005,uniform
Streptomyces fulvissimus,0.9381,0.0,1e-05,0.186,uniform
Bacillus sp,0.9717,0.0,1e-05,0.235,uniform
Pseudomonas mandelii,0.9323,0.0,2e-05,0.482,uniform
Myxococcus fulvus,0.8714,0.0,1e-05,0.073,uniform
Actinoplanes friuliensis,0.8882,0.0,1e-05,0.146,uniform
Bacillus infantis,0.9711,0.0,0.0,0.206,uniform
Sphingomonas sanxanigenens,0.952,0.0,1e-05,0.436,uniform
Clostridium saccharobutylicum,0.9273,0.0,1e-05,0.068,uniform
Streptococcus sp,0.9882,0.0,0.0,0.031,uniform
Lysinibacillus varians,0.7965,0.0,4e-05,0.305,uniform
Nocardia nova,0.9269,0.0,1e-05,0.257,uniform
Bacillus toyonensis,0.9755,0.0,0.0,0.269,uniform
Clostridium baratii,0.9346,0.0,2e-05,0.32,uniform
Escherichia albertii,0.79,0.0,4e-05,0.386,uniform
Chania multitudinisentens,0.9947,0.0,0.0,0.347,uniform
Opitutaceae bacterium,0.9831,0.0,0.0,0.446,uniform
Gynuella sunshinyii,0.9673,0.0,1e-05,0.294,uniform
Kutzneria albida,0.8853,0.0,2e-05,0.139,uniform
Siansivirga zeaxanthinifaciens,0.9654,0.0,1e-05,0.333,uniform
Rhodoplanes sp,0.6352,0.0,9e-05,0.1,uniform
Draconibacterium orientale,0.9815,0.0,0.0,0.319,uniform
Bacillus bombysepticus,0.8505,0.0,2e-05,0.259,uniform
Streptomyces albulus,0.9239,0.0,1e-05,0.129,uniform
Bacteroides dorei,0.915,0.0,1e-05,0.063,uniform
Bacillus pseudomycoides,0.9176,0.0,1e-05,0.238,uniform
Streptomyces lydicus,0.9835,0.0,0.0,0.153,uniform
Neisseria elongata,0.7651,0.0,1e-05,0.057,uniform
Brevibacillus laterosporus,0.7455,0.0,4e-05,0.185,uniform
Pseudomonas chlororaphis,0.799,0.0,6e-05,0.36,uniform
Pelosinus sp,0.9164,0.0,1e-05,0.147,uniform
Amycolatopsis japonica,0.8786,0.0,4e-05,0.3,uniform
Amycolatopsis methanolica,0.9246,0.0,2e-05,0.244,uniform
Clostridium sporogenes,0.9847,0.0,0.0,0.218,uniform
Treponema sp,0.9788,0.0,0.0,0.061,uniform
Megasphaera elsdenii,0.9137,0.0,1e-05,0.071,uniform
Corynebacterium flavescens,0.6608,0.0,0.0001,0.225,uniform
Corynebacterium frankenforstense,0.7071,0.0,8e-05,0.469,uniform
Paenibacillus borealis,0.9571,0.0,1e-05,0.275,uniform
Paenibacillus graminis,0.9335,0.0,1e-05,0.174,uniform
Paenibacillus durus,0.971,0.0,1e-05,0.315,uniform
Paenibacillus odorifer,0.969,0.0,0.0,0.096,uniform
Pantoea rwandensis,0.6769,0.0,0.0003,0.393,uniform
Pontibacter korlensis,0.9117,0.0,2e-05,0.349,uniform
Clostridium aceticum,0.9231,0.0,1e-05,0.404,uniform
Bacillus mycoides,0.9326,0.0,1e-05,0.3,uniform
Parvimonas micra,0.958,0.0,0.0,0.011,uniform
Pimelobacter simplex,0.7112,0.0,9e-05,0.454,uniform
Chryseobacterium gallinarum,0.9856,0.0,0.0,0.171,uniform
Clostridium scatologenes,0.9029,0.0,1e-05,0.081,uniform
Cellulophaga baltica,0.9161,0.0,2e-05,0.269,uniform
Spirosoma radiotolerans,0.9801,0.0,1e-05,0.241,uniform
Streptomyces albus,0.8925,0.0,1e-05,0.202,uniform
Myroides profundi,0.9969,0.0,0.0,0.486,uniform
Lysinibacillus fusiformis,0.9626,0.0,1e-05,0.181,uniform
Pelosinus fermentans,0.618,0.0,4e-05,0.045,uniform
Bacillus simplex,0.9853,0.0,0.0,0.24,uniform
Pseudoalteromonas tunicata,0.8838,0.0,3e-05,0.346,uniform
Elizabethkingia miricola,0.9471,0.0,1e-05,0.335,uniform
Photorhabdus temperata,0.9057,0.0,3e-05,0.228,uniform
Sandaracinus amylolyticus,0.89,0.0,1e-05,0.11,uniform
Serratia fonticola,0.9121,0.0,1e-05,0.39,uniform
Planctomyces sp,0.9387,0.0,2e-05,0.407,uniform
Gemmata sp,0.9464,0.0,1e-05,0.228,uniform
Pirellula sp,0.9839,0.0,1e-05,0.474,uniform
Streptomyces pristinaespiralis,0.9276,0.0,1e-05,0.199,uniform
Paenibacillus swuensis,0.8471,0.0,3e-05,0.448,uniform
Flavisolibacter tropicus,0.9395,0.0,0.0,0.11,uniform
Pseudomonas trivialis,0.9634,0.0,1e-05,0.337,uniform
Archangium gephyra,0.9413,0.0,1e-05,0.074,uniform
Paenibacillus peoriae,0.9606,0.0,1e-05,0.317,uniform
Streptomyces noursei,0.8656,0.0,2e-05,0.238,uniform
Bacillus filamentosus,0.9144,0.0,1e-05,0.163,uniform
Ectothiorhodospira sp,0.656,0.0,0.00023,0.342,uniform
Cyclobacterium amurskyense,0.9328,0.0,1e-05,0.146,uniform
Eubacterium sulci,0.733,0.0,4e-05,0.29,uniform
Actinomyces meyeri,0.9184,0.0,0.0,0.032,uniform
Prevotella fusca,0.978,0.0,0.0,0.034,uniform
Anaerostipes hadrus,0.9624,0.0,1e-05,0.487,uniform
Myxococcus hansupus,0.9353,0.0,1e-05,0.16,uniform
Mycobacterium goodii,0.9744,0.0,1e-05,0.483,uniform
Chondromyces crocatus,0.9288,0.0,1e-05,0.061,uniform
Campylobacter gracilis,0.9739,0.0,0.0,0.332,uniform
Massilia sp,0.9245,0.0,2e-05,0.401,uniform
Labilithrix luteola,0.8878,0.0,1e-05,0.07,uniform
Enterococcus durans,0.9176,0.0,1e-05,0.448,uniform
Beggiatoa leptomitoformis,0.9327,0.0,1e-05,0.215,uniform
Streptomyces ambofaciens,0.9783,0.0,0.0,0.27,uniform
Leptotrichia sp,0.9538,0.0,1e-05,0.316,uniform
Kocuria palustris,0.7752,0.0,5e-05,0.451,uniform
Capnocytophaga sp,0.7221,0.0,5e-05,0.428,uniform
Actinomyces sp,0.9555,0.0,0.0,0.012,uniform
Rufibacter tibetensis,0.7841,0.0,6e-05,0.496,uniform
Kibdelosporangium phytohabitans,0.8689,0.0,1e-05,0.067,uniform
Bacteroides cellulosilyticus,0.9728,0.0,0.0,0.037,uniform
Acinetobacter equi,0.982,0.0,0.0,0.395,uniform
Algoriphagus sp,0.982,0.0,1e-05,0.49,uniform
Salegentibacter sp,0.8518,0.0,3e-05,0.431,uniform
Lactobacillus gallinarum,0.9498,0.0,1e-05,0.379,uniform
Algibacter alginicilyticus,0.7999,0.0,5e-05,0.284,uniform
Bacteroides ovatus,0.9214,0.0,0.0,0.05,uniform
Pedobacter sp,0.9239,0.0,1e-05,0.122,uniform
Agarivorans gilvus,0.6584,0.0,0.00017,0.255,uniform
Salinivirga cyanobacteriivorans,0.9296,0.0,2e-05,0.352,uniform
Lysobacter antibioticus,0.9211,0.0,2e-05,0.443,uniform
Colwellia sp,0.8711,0.0,2e-05,0.439,uniform
Prevotella enoeca,0.8774,0.0,0.0,0.004,uniform
Kurthia sp,0.9813,0.0,1e-05,0.304,uniform
Clostridium butyricum,0.9842,0.0,0.0,0.17,uniform
Janibacter indicus,0.8785,0.0,2e-05,0.418,uniform
Fusobacterium hwasookii,0.9947,0.0,0.0,0.016,uniform
Lutibacter profundi,0.925,0.0,2e-05,0.395,uniform
Turicibacter sp,0.9658,0.0,1e-05,0.446,uniform
Enterococcus silesiacus,0.8881,0.0,1e-05,0.142,uniform
Tenacibaculum dicentrarchi,0.9359,0.0,1e-05,0.487,uniform
Streptomyces globisporus,0.9328,0.0,2e-05,0.484,uniform
Hafnia paralvei,0.7027,0.0,0.00013,0.403,uniform
Brenneria goodwinii,0.9609,0.0,1e-05,0.436,uniform
Microterricola viridarii,0.9927,0.0,0.0,0.459,uniform
Paeniclostridium sordellii,0.7449,0.0,3e-05,0.212,uniform
Clostridium argentinense,0.8154,0.0,2e-05,0.131,uniform
Wenyingzhuangia fucanilytica,0.9076,0.0,3e-05,0.429,uniform
Actinomyces radicidentis,0.9698,0.0,0.0,0.016,uniform
Actinomyces oris,0.9873,0.0,0.0,0.021,uniform
Gemella sp,0.9134,0.0,0.0,0.01,uniform
Spirosoma montaniterrae,0.9576,0.0,1e-05,0.484,uniform
Methylomonas denitrificans,0.8418,0.0,3e-05,0.495,uniform
Pedobacter cryoconitis,0.9656,0.0,0.0,0.203,uniform
Zhongshania aliphaticivorans,0.9326,0.0,2e-05,0.468,uniform
Sporosarcina psychrophila,0.7927,0.0,7e-05,0.252,uniform
Mucilaginibacter sp,0.9567,0.0,1e-05,0.314,uniform
Shewanella psychrophila,0.9451,0.0,1e-05,0.24,uniform
Lactobacillus oris,0.9729,0.0,0.0,0.109,uniform
Rummeliibacillus stabekisii,0.9499,0.0,1e-05,0.497,uniform
Actinoalloteichus hymeniacidonis,0.9617,0.0,1e-05,0.303,uniform
Pseudomonas silesiensis,0.8889,0.0,1e-05,0.202,uniform
Pseudomonas koreensis,0.6581,0.0,7e-05,0.106,uniform
Aminobacter aminovorans,0.893,0.0,2e-05,0.499,uniform
Rhizobacter gummiphilus,0.9474,0.0,1e-05,0.323,uniform
Luteitalea pratensis,0.9542,0.0,1e-05,0.359,uniform
Streptococcus marmotae,0.9694,0.0,1e-05,0.278,uniform
Photorhabdus laumondii,0.9314,0.0,2e-05,0.314,uniform
Fibrella sp,0.9723,0.0,1e-05,0.461,uniform
Fictibacillus phosphorivorans,0.9668,0.0,1e-05,0.219,uniform
Lachnoclostridium sp,0.8546,0.0,1e-05,0.132,uniform
Bacteroides caecimuris,0.8933,0.0,1e-05,0.098,uniform
Erysipelotrichaceae bacterium,0.7761,0.0,3e-05,0.247,uniform
Blautia sp,0.9801,0.0,0.0,0.25,uniform
Pseudoalteromonas luteoviolacea,0.9856,0.0,1e-05,0.499,uniform
