Species,r_value,p_value,stError,euclidean,distribution
Sinorhizobium meliloti,0.9542,0.0,1e-05,0.164,uniform
Listeria innocua,0.8627,0.0,1e-05,0.032,uniform
Streptomyces coelicolor,0.9439,0.0,1e-05,0.093,uniform
Ralstonia solanacearum,0.9171,0.0,1e-05,0.078,uniform
Nitrosomonas europaea,0.9501,0.0,1e-05,0.151,uniform
Bordetella avium,0.9023,0.0,2e-05,0.07,uniform
Lawsonia intracellularis,0.9181,0.0,2e-05,0.32,uniform
Clostridium difficile,0.9555,0.0,0.0,0.033,uniform
Pseudomonas fluorescens,0.9076,0.0,1e-05,0.026,uniform
Rhizobium leguminosarum,0.9685,0.0,1e-05,0.092,uniform
Ralstonia eutropha,0.9377,0.0,1e-05,0.119,uniform
Helicobacter acinonychis,0.9291,0.0,3e-05,0.473,uniform
Bartonella tribocorum,0.8936,0.0,2e-05,0.11,uniform
Listeria welshimeri,0.8153,0.0,1e-05,0.04,uniform
Yersinia enterocolitica,0.8877,0.0,1e-05,0.028,uniform
Alcanivorax borkumensis,0.8989,0.0,2e-05,0.215,uniform
Staphylococcus carnosus,0.8124,0.0,2e-05,0.047,uniform
Flavobacterium psychrophilum,0.8228,0.0,1e-05,0.03,uniform
Saccharopolyspora erythraea,0.8403,0.0,2e-05,0.073,uniform
Clavibacter michiganensis,0.8236,0.0,4e-05,0.454,uniform
Sorangium cellulosum,0.9054,0.0,0.0,0.006,uniform
Burkholderia cenocepacia,0.9714,0.0,1e-05,0.403,uniform
Bordetella petrii,0.8198,0.0,2e-05,0.056,uniform
Corynebacterium urealyticum,0.8965,0.0,4e-05,0.375,uniform
Proteus mirabilis,0.8777,0.0,1e-05,0.016,uniform
Streptococcus uberis,0.9,0.0,1e-05,0.018,uniform
Nocardia farcinica,0.9314,0.0,1e-05,0.175,uniform
Bacillus clausii,0.8498,0.0,1e-05,0.025,uniform
Staphylococcus haemolyticus,0.8155,0.0,2e-05,0.03,uniform
Klebsiella pneumoniae,0.9129,0.0,1e-05,0.059,uniform
Symbiobacterium thermophilum,0.9585,0.0,1e-05,0.419,uniform
Bacteroides fragilis,0.8539,0.0,0.0,0.003,uniform
Magnetospirillum magneticum,0.8233,0.0,2e-05,0.096,uniform
Lactobacillus reuteri,0.9244,0.0,1e-05,0.126,uniform
Desulfitobacterium hafniense,0.8737,0.0,1e-05,0.01,uniform
Synechococcus elongatus,0.9024,0.0,2e-05,0.167,uniform
Sodalis glossinidius,0.9082,0.0,1e-05,0.06,uniform
Staphylococcus saprophyticus,0.9098,0.0,1e-05,0.036,uniform
Brevibacillus brevis,0.8514,0.0,1e-05,0.013,uniform
Rhodococcus erythropolis,0.8756,0.0,1e-05,0.036,uniform
Finegoldia magna,0.8206,0.0,2e-05,0.076,uniform
Orientia tsutsugamushi,0.8916,0.0,3e-05,0.384,uniform
Corynebacterium glutamicum,0.9858,0.0,1e-05,0.332,uniform
Clostridium kluyveri,0.8632,0.0,1e-05,0.014,uniform
Gemmatimonas aurantiaca,0.9072,0.0,1e-05,0.054,uniform
Nitratiruptor sp,0.9299,0.0,1e-05,0.159,uniform
Sulfurovum sp,0.917,0.0,2e-05,0.124,uniform
Lactococcus garvieae,0.909,0.0,1e-05,0.046,uniform
Azorhizobium caulinodans,0.8704,0.0,1e-05,0.048,uniform
Pelotomaculum thermopropionicum,0.9709,0.0,1e-05,0.147,uniform
Macrococcus caseolyticus,0.9501,0.0,1e-05,0.11,uniform
Streptomyces griseus,0.7991,0.0,2e-05,0.056,uniform
Microcystis aeruginosa,0.9369,0.0,0.0,0.023,uniform
Candidatus Azobacteroides,0.7936,0.0,5e-05,0.263,uniform
Desulfovibrio magneticus,0.9451,0.0,1e-05,0.067,uniform
Streptococcus dysgalactiae,0.8812,0.0,1e-05,0.016,uniform
Azospirillum sp,0.8757,0.0,3e-05,0.236,uniform
Kitasatospora setae,0.8492,0.0,2e-05,0.045,uniform
Streptococcus intermedius,0.9174,0.0,0.0,0.003,uniform
Rhodococcus opacus,0.8903,0.0,1e-05,0.041,uniform
Acetobacter pasteurianus,0.876,0.0,2e-05,0.164,uniform
Shewanella violacea,0.9699,0.0,0.0,0.044,uniform
Deferribacter desulfuricans,0.8888,0.0,1e-05,0.062,uniform
Rothia mucilaginosa,0.6326,0.0,4e-05,0.079,uniform
Lactobacillus rhamnosus,0.951,0.0,1e-05,0.155,uniform
Erysipelothrix rhusiopathiae,0.9311,0.0,1e-05,0.299,uniform
Anaerolinea thermophila,0.9232,0.0,1e-05,0.062,uniform
Acidiphilium multivorum,0.9744,0.0,1e-05,0.352,uniform
Oscillibacter valericigenes,0.9681,0.0,0.0,0.062,uniform
Tetragenococcus halophilus,0.8575,0.0,1e-05,0.032,uniform
Arcobacter sp,0.8695,0.0,1e-05,0.017,uniform
Amphibacillus xylanus,0.8722,0.0,1e-05,0.064,uniform
Caldisericum exile,0.6931,0.0,7e-05,0.25,uniform
Microbacterium testaceum,0.743,0.0,5e-05,0.264,uniform
Streptococcus pasteurianus,0.8518,0.0,0.0,0.012,uniform
Ilumatobacter coccineus,0.9179,0.0,1e-05,0.148,uniform
Solibacillus silvestris,0.718,0.0,2e-05,0.018,uniform
Komagataeibacter medellinensis,0.9354,0.0,2e-05,0.192,uniform
Candidatus Arthromitus,0.8859,0.0,2e-05,0.133,uniform
Microlunatus phosphovorus,0.8734,0.0,1e-05,0.056,uniform
Bradyrhizobium japonicum,0.7041,0.0,2e-05,0.013,uniform
Eggerthella sp,0.8709,0.0,2e-05,0.139,uniform
Sphingobium sp,0.8203,0.0,3e-05,0.08,uniform
Pseudogulbenkiania sp,0.825,0.0,1e-05,0.041,uniform
Thiolapillus brandeum,0.851,0.0,2e-05,0.136,uniform
Melissococcus plutonius,0.8515,0.0,2e-05,0.07,uniform
Selenomonas ruminantium,0.8558,0.0,2e-05,0.077,uniform
Actinoplanes missouriensis,0.8838,0.0,1e-05,0.037,uniform
Rubrivivax gelatinosus,0.9483,0.0,1e-05,0.063,uniform
Bifidobacterium pseudocatenulatum,0.8754,0.0,4e-05,0.308,uniform
Bifidobacterium scardovii,0.9529,0.0,2e-05,0.338,uniform
Scardovia inopinata,0.9625,0.0,1e-05,0.462,uniform
Caldilinea aerophila,0.849,0.0,1e-05,0.035,uniform
Phycisphaera mikurensis,0.9782,0.0,1e-05,0.464,uniform
Leptospirillum ferrooxidans,0.7342,0.0,8e-05,0.279,uniform
Helicobacter cinaedi,0.8885,0.0,2e-05,0.158,uniform
Sulfuritalea hydrogenivorans,0.8968,0.0,1e-05,0.135,uniform
Plautia stali,0.9137,0.0,2e-05,0.09,uniform
Bradyrhizobium oligotrophicum,0.9281,0.0,0.0,0.015,uniform
Thermosulfidibacter takaii,0.9026,0.0,2e-05,0.205,uniform
Enterococcus mundtii,0.8235,0.0,1e-05,0.018,uniform
Sulfuricella denitrificans,0.9199,0.0,1e-05,0.127,uniform
Pseudomonas resinovorans,0.9533,0.0,0.0,0.028,uniform
Adlercreutzia equolifaciens,0.9051,0.0,2e-05,0.291,uniform
Pseudothermotoga elfii,0.8499,0.0,5e-05,0.349,uniform
Pseudothermotoga hypogea,0.8717,0.0,3e-05,0.361,uniform
Thermotoga profunda,0.9651,0.0,1e-05,0.167,uniform
Ichthyobacterium seriolicida,0.815,0.0,3e-05,0.142,uniform
Comamonadaceae bacterium,0.9221,0.0,1e-05,0.094,uniform
Winogradskyella sp,0.8193,0.0,1e-05,0.014,uniform
Streptococcus troglodytae,0.8847,0.0,1e-05,0.02,uniform
Alcanivorax sp,0.9443,0.0,1e-05,0.291,uniform
Chryseobacterium sp,0.8457,0.0,1e-05,0.007,uniform
Acinetobacter guillouiae,0.7589,0.0,1e-05,0.008,uniform
Thioploca ingrica,0.8539,0.0,1e-05,0.014,uniform
Vibrio tritonius,0.9118,0.0,1e-05,0.049,uniform
Leptolyngbya boryana,0.914,0.0,1e-05,0.01,uniform
Methyloceanibacter caenitepidi,0.7507,0.0,4e-05,0.143,uniform
Lactobacillus hokkaidonensis,0.8944,0.0,2e-05,0.1,uniform
Burkholderiales bacterium,0.8725,0.0,3e-05,0.254,uniform
Asaia bogorensis,0.9337,0.0,2e-05,0.29,uniform
Methylobacterium aquaticum,0.8125,0.0,2e-05,0.104,uniform
Sulfurospirillum sp,0.9259,0.0,1e-05,0.048,uniform
Sulfurospirillum cavolei,0.8367,0.0,2e-05,0.085,uniform
Rhodovulum sulfidophilum,0.7761,0.0,5e-05,0.181,uniform
Lactobacillus acetotolerans,0.8397,0.0,3e-05,0.172,uniform
Geminocystis sp,0.9,0.0,1e-05,0.016,uniform
Candidatus Nitrosoglobus,0.8043,0.0,5e-05,0.162,uniform
Sulfuricaulis limicola,0.9604,0.0,1e-05,0.175,uniform
Limnochorda pilosa,0.9024,0.0,2e-05,0.297,uniform
Sulfurifustis variabilis,0.9364,0.0,1e-05,0.231,uniform
Lysobacter enzymogenes,0.9293,0.0,1e-05,0.096,uniform
Caldimicrobium thiodismutans,0.9453,0.0,2e-05,0.236,uniform
Variibacter gotjawalensis,0.9359,0.0,1e-05,0.068,uniform
Fischerella sp,0.8753,0.0,1e-05,0.011,uniform
Aneurinibacillus soli,0.7831,0.0,1e-05,0.029,uniform
Mucilaginibacter gotjawali,0.8779,0.0,1e-05,0.01,uniform
Halorhodospira halochloris,0.9808,0.0,1e-05,0.399,uniform
Stanieria sp,0.8635,0.0,1e-05,0.011,uniform
Filimonas lacunae,0.9227,0.0,0.0,0.005,uniform
Streptomyces laurentii,0.9648,0.0,1e-05,0.119,uniform
Hafnia sp,0.7834,0.0,2e-05,0.051,uniform
Sphingobium cloacae,0.9706,0.0,1e-05,0.253,uniform
Actinomyces naeslundii,0.976,0.0,1e-05,0.281,uniform
Rothia aeria,0.8943,0.0,1e-05,0.045,uniform
Fusobacterium varium,0.8533,0.0,1e-05,0.008,uniform
Neochlamydia sp,0.9363,0.0,1e-05,0.084,uniform
Petrimonas sp,0.9318,0.0,0.0,0.017,uniform
Marinifilaceae bacterium,0.8385,0.0,1e-05,0.004,uniform
Thiohalobacter thiocyanaticus,0.9097,0.0,2e-05,0.151,uniform
Mycobacterium shigaense,0.8777,0.0,2e-05,0.187,uniform
Mycobacterium stephanolepidis,0.8803,0.0,1e-05,0.081,uniform
Chondrocystis sp,0.8312,0.0,1e-05,0.018,uniform
Ureibacillus thermosphaericus,0.6109,0.0,2e-05,0.014,uniform
Vibrio casei,0.8922,0.0,1e-05,0.104,uniform
Vibrio rumoiensis,0.8173,0.0,2e-05,0.067,uniform
Vibrio aphrogenes,0.8323,0.0,2e-05,0.075,uniform
Ferriphaselus amnicola,0.8125,0.0,3e-05,0.137,uniform
Aquitalea magnusonii,0.8902,0.0,1e-05,0.008,uniform
Bacillus halodurans,0.8701,0.0,1e-05,0.029,uniform
Mesorhizobium loti,0.867,0.0,1e-05,0.028,uniform
Clostridium perfringens,0.8746,0.0,1e-05,0.022,uniform
Nostoc sp,0.8569,0.0,1e-05,0.01,uniform
Synechocystis sp,0.8971,0.0,1e-05,0.071,uniform
Mycoplasma penetrans,0.8324,0.0,3e-05,0.133,uniform
Oceanobacillus iheyensis,0.8473,0.0,1e-05,0.022,uniform
Streptomyces avermitilis,0.9197,0.0,1e-05,0.028,uniform
Vibrio parahaemolyticus,0.9286,0.0,1e-05,0.052,uniform
Corynebacterium efficiens,0.7678,0.0,7e-05,0.273,uniform
Vibrio vulnificus,0.9323,0.0,1e-05,0.062,uniform
Thermosynechococcus elongatus,0.9599,0.0,1e-05,0.194,uniform
Bradyrhizobium diazoefficiens,0.8605,0.0,1e-05,0.024,uniform
Geobacillus kaustophilus,0.8587,0.0,2e-05,0.149,uniform
Gloeobacter violaceus,0.9565,0.0,1e-05,0.045,uniform
Francisella tularensis,0.9257,0.0,2e-05,0.412,uniform
Rhodopirellula baltica,0.8252,0.0,1e-05,0.016,uniform
Corynebacterium diphtheriae,0.798,0.0,4e-05,0.168,uniform
Bordetella parapertussis,0.9218,0.0,1e-05,0.205,uniform
Bordetella bronchiseptica,0.9512,0.0,1e-05,0.119,uniform
Photorhabdus luminescens,0.9088,0.0,1e-05,0.021,uniform
Wolinella succinogenes,0.8809,0.0,2e-05,0.129,uniform
Burkholderia pseudomallei,0.9912,0.0,0.0,0.416,uniform
Bdellovibrio bacteriovorus,0.8838,0.0,2e-05,0.051,uniform
Bartonella quintana,0.9051,0.0,3e-05,0.303,uniform
Erwinia carotovora,0.9182,0.0,1e-05,0.061,uniform
Gluconobacter oxydans,0.8891,0.0,3e-05,0.318,uniform
Vibrio fischeri,0.81,0.0,2e-05,0.047,uniform
Streptococcus thermophilus,0.8482,0.0,1e-05,0.005,uniform
Ruegeria pomeroyi,0.9702,0.0,1e-05,0.293,uniform
Lactobacillus acidophilus,0.8324,0.0,2e-05,0.062,uniform
Shigella dysenteriae,0.9487,0.0,1e-05,0.325,uniform
Shigella boydii,0.8111,0.0,5e-05,0.438,uniform
Shigella sonnei,0.9734,0.0,1e-05,0.294,uniform
Haemophilus influenzae,0.9515,0.0,0.0,0.032,uniform
Pseudomonas savastanoi,0.8298,0.0,2e-05,0.034,uniform
Pseudomonas protegens,0.9255,0.0,1e-05,0.025,uniform
Psychrobacter arcticus,0.8901,0.0,1e-05,0.072,uniform
Colwellia psychrerythraea,0.9243,0.0,0.0,0.007,uniform
Candidatus Pelagibacter,0.8556,0.0,4e-05,0.22,uniform
Burkholderia thailandensis,0.821,0.0,3e-05,0.307,uniform
Rickettsia bellii,0.9346,0.0,2e-05,0.293,uniform
Dechloromonas aromatica,0.8425,0.0,1e-05,0.039,uniform
Chlorobium luteolum,0.8168,0.0,4e-05,0.262,uniform
Synechococcus sp,0.9249,0.0,3e-05,0.318,uniform
Nitrosospira multiformis,0.9255,0.0,1e-05,0.125,uniform
Ehrlichia canis,0.7338,0.0,0.0001,0.485,uniform
Chlorobium chlorochromatii,0.8952,0.0,1e-05,0.069,uniform
Thiomicrospira crunogena,0.8687,0.0,2e-05,0.091,uniform
Desulfovibrio alaskensis,0.9589,0.0,1e-05,0.09,uniform
Myxococcus xanthus,0.7426,0.0,1e-05,0.019,uniform
Nitrobacter winogradskyi,0.8452,0.0,2e-05,0.222,uniform
Thiobacillus denitrificans,0.9001,0.0,2e-05,0.147,uniform
Anabaena variabilis,0.8169,0.0,1e-05,0.012,uniform
Nitrosococcus oceani,0.7434,0.0,4e-05,0.117,uniform
Bacteroides vulgatus,0.9242,0.0,0.0,0.006,uniform
Parabacteroides distasonis,0.9515,0.0,0.0,0.006,uniform
Carboxydothermus hydrogenoformans,0.9428,0.0,1e-05,0.117,uniform
Pelobacter carbinolicus,0.8415,0.0,3e-05,0.104,uniform
Geobacter metallireducens,0.9709,0.0,1e-05,0.093,uniform
Sulfurimonas denitrificans,0.8633,0.0,1e-05,0.078,uniform
Paenibacillus polymyxa,0.9189,0.0,1e-05,0.019,uniform
Hahella chejuensis,0.917,0.0,0.0,0.011,uniform
Erythrobacter litoralis,0.9662,0.0,1e-05,0.256,uniform
Hyphomonas neptunium,0.9053,0.0,2e-05,0.132,uniform
Salinibacter ruber,0.8926,0.0,2e-05,0.197,uniform
Rhodospirillum rubrum,0.9733,0.0,1e-05,0.118,uniform
Moorella thermoacetica,0.9108,0.0,3e-05,0.312,uniform
Lactobacillus salivarius,0.9005,0.0,1e-05,0.077,uniform
Ramlibacter tataouinensis,0.9201,0.0,1e-05,0.126,uniform
Novosphingobium aromaticivorans,0.9525,0.0,1e-05,0.194,uniform
Frankia casuarinae,0.9047,0.0,2e-05,0.122,uniform
Rhodopseudomonas palustris,0.8829,0.0,1e-05,0.094,uniform
Anaeromyxobacter dehalogenans,0.9487,0.0,1e-05,0.195,uniform
Syntrophus aciditrophicus,0.8148,0.0,4e-05,0.154,uniform
Jannaschia sp,0.7864,0.0,2e-05,0.151,uniform
Rhodoferax ferrireducens,0.9368,0.0,1e-05,0.031,uniform
Janthinobacterium sp,0.8957,0.0,1e-05,0.039,uniform
Paraburkholderia xenovorans,0.8823,0.0,1e-05,0.063,uniform
Saccharophagus degradans,0.9276,0.0,1e-05,0.019,uniform
Methylobacillus flagellatus,0.8766,0.0,2e-05,0.088,uniform
Chromohalobacter salexigens,0.8878,0.0,2e-05,0.143,uniform
Shewanella denitrificans,0.8521,0.0,1e-05,0.027,uniform
Pseudomonas stutzeri,0.9749,0.0,0.0,0.104,uniform
Polaromonas sp,0.9521,0.0,1e-05,0.028,uniform
Nitrobacter hamburgensis,0.926,0.0,1e-05,0.073,uniform
Psychrobacter cryohalolentis,0.808,0.0,2e-05,0.046,uniform
Mycobacterium ulcerans,0.9342,0.0,2e-05,0.453,uniform
Leptospira borgpetersenii,0.9232,0.0,1e-05,0.053,uniform
Cupriavidus metallidurans,0.9069,0.0,1e-05,0.089,uniform
Sphingopyxis alaskensis,0.9421,0.0,3e-05,0.448,uniform
Candidatus Koribacter,0.8896,0.0,1e-05,0.06,uniform
Arcobacter butzleri,0.9158,0.0,1e-05,0.032,uniform
Roseobacter denitrificans,0.8701,0.0,3e-05,0.103,uniform
Ruegeria sp,0.9376,0.0,2e-05,0.223,uniform
Clostridium novyi,0.8982,0.0,1e-05,0.043,uniform
Cytophaga hutchinsonii,0.8779,0.0,1e-05,0.014,uniform
Mycobacterium sp,0.9088,0.0,1e-05,0.129,uniform
Streptococcus sanguinis,0.9427,0.0,0.0,0.026,uniform
Pseudoalteromonas atlantica,0.8829,0.0,1e-05,0.02,uniform
Chelativorans sp,0.9229,0.0,1e-05,0.096,uniform
Trichodesmium erythraeum,0.8307,0.0,0.0,0.003,uniform
Granulibacter bethesdensis,0.8367,0.0,4e-05,0.419,uniform
Streptococcus suis,0.9444,0.0,0.0,0.005,uniform
Oenococcus oeni,0.8403,0.0,4e-05,0.126,uniform
Lactobacillus delbrueckii,0.9473,0.0,2e-05,0.437,uniform
Lactobacillus gasseri,0.8762,0.0,2e-05,0.111,uniform
Leuconostoc mesenteroides,0.9635,0.0,1e-05,0.097,uniform
Lactobacillus brevis,0.9476,0.0,2e-05,0.298,uniform
Pediococcus pentosaceus,0.8872,0.0,2e-05,0.223,uniform
Lactobacillus paracasei,0.9518,0.0,1e-05,0.197,uniform
Rhodococcus jostii,0.7416,0.0,2e-05,0.069,uniform
Haemophilus somnus,0.9331,0.0,1e-05,0.07,uniform
Shewanella sp,0.9182,0.0,1e-05,0.023,uniform
Shewanella frigidimarina,0.9234,0.0,1e-05,0.016,uniform
Syntrophomonas wolfei,0.8138,0.0,2e-05,0.089,uniform
Maricaulis maris,0.8725,0.0,2e-05,0.247,uniform
Nitrosomonas eutropha,0.7798,0.0,4e-05,0.14,uniform
Alkalilimnicola ehrlichii,0.7768,0.0,5e-05,0.3,uniform
Arthrobacter sp,0.8464,0.0,3e-05,0.125,uniform
Aeromonas hydrophila,0.7849,0.0,3e-05,0.074,uniform
Magnetococcus marinus,0.8961,0.0,1e-05,0.055,uniform
Shewanella piezotolerans,0.8876,0.0,1e-05,0.01,uniform
Candidatus Solibacter,0.9167,0.0,0.0,0.006,uniform
Paenarthrobacter aurescens,0.8244,0.0,2e-05,0.086,uniform
Syntrophobacter fumaroxidans,0.8608,0.0,1e-05,0.052,uniform
Mycobacterium smegmatis,0.9626,0.0,1e-05,0.126,uniform
Pelobacter propionicus,0.8326,0.0,2e-05,0.122,uniform
Campylobacter fetus,0.9,0.0,3e-05,0.219,uniform
Candidatus Ruthia,0.952,0.0,1e-05,0.332,uniform
Chlorobium phaeobacteroides,0.8932,0.0,2e-05,0.103,uniform
Bradyrhizobium sp,0.7898,0.0,1e-05,0.018,uniform
Shewanella amazonensis,0.7691,0.0,3e-05,0.034,uniform
Nocardioides sp,0.9096,0.0,1e-05,0.161,uniform
Psychromonas ingrahamii,0.8629,0.0,1e-05,0.017,uniform
Mycobacterium vanbaalenii,0.8627,0.0,1e-05,0.094,uniform
Acidovorax citrulli,0.8955,0.0,1e-05,0.109,uniform
Dichelobacter nodosus,0.9371,0.0,2e-05,0.299,uniform
Marinobacter hydrocarbonoclasticus,0.8771,0.0,2e-05,0.086,uniform
Lactobacillus helveticus,0.9429,0.0,1e-05,0.207,uniform
Acinetobacter baumannii,0.8983,0.0,1e-05,0.023,uniform
Bartonella bacilliformis,0.8396,0.0,5e-05,0.461,uniform
Desulfovibrio vulgaris,0.8157,0.0,2e-05,0.12,uniform
Polaromonas naphthalenivorans,0.8937,0.0,1e-05,0.047,uniform
Acidovorax sp,0.9459,0.0,1e-05,0.182,uniform
Verminephrobacter eiseniae,0.8717,0.0,1e-05,0.047,uniform
Halorhodospira halophila,0.9093,0.0,2e-05,0.474,uniform
Methylibium petroleiphilum,0.8912,0.0,2e-05,0.072,uniform
Geobacillus thermodenitrificans,0.9078,0.0,1e-05,0.055,uniform
Bacillus amyloliquefaciens,0.9191,0.0,1e-05,0.163,uniform
Shewanella baltica,0.8802,0.0,1e-05,0.016,uniform
Ruminiclostridium thermocellum,0.8651,0.0,1e-05,0.026,uniform
Actinobacillus pleuropneumoniae,0.8849,0.0,1e-05,0.027,uniform
Rhodobacter sphaeroides,0.9326,0.0,2e-05,0.26,uniform
Shewanella loihica,0.8978,0.0,1e-05,0.039,uniform
Desulfotomaculum reducens,0.9348,0.0,1e-05,0.037,uniform
Rhodospirillum centenum,0.9065,0.0,1e-05,0.173,uniform
Burkholderia vietnamiensis,0.7457,0.0,6e-05,0.139,uniform
Agrobacterium radiobacter,0.855,0.0,2e-05,0.091,uniform
Agrobacterium vitis,0.9121,0.0,2e-05,0.122,uniform
Aeromonas salmonicida,0.8946,0.0,1e-05,0.084,uniform
Enterobacter sp,0.8646,0.0,2e-05,0.06,uniform
Polynucleobacter asymbioticus,0.9565,0.0,1e-05,0.119,uniform
Mycobacterium gilvum,0.8539,0.0,2e-05,0.094,uniform
Salinispora tropica,0.9336,0.0,1e-05,0.203,uniform
Caldicellulosiruptor saccharolyticus,0.8225,0.0,3e-05,0.041,uniform
Pseudomonas mendocina,0.8705,0.0,2e-05,0.065,uniform
Shewanella putrefaciens,0.9015,0.0,1e-05,0.025,uniform
Flavobacterium johnsoniae,0.84,0.0,0.0,0.004,uniform
Roseiflexus sp,0.9459,0.0,0.0,0.032,uniform
Acidiphilium cryptum,0.9587,0.0,2e-05,0.482,uniform
Geobacter uraniireducens,0.8898,0.0,1e-05,0.029,uniform
Sphingomonas wittichii,0.9375,0.0,1e-05,0.051,uniform
Psychrobacter sp,0.9132,0.0,1e-05,0.069,uniform
Thermosipho melanesiensis,0.8147,0.0,4e-05,0.089,uniform
Yersinia pseudotuberculosis,0.8457,0.0,2e-05,0.052,uniform
Clostridium beijerinckii,0.8565,0.0,0.0,0.004,uniform
Alkaliphilus metalliredigens,0.8614,0.0,1e-05,0.011,uniform
Streptococcus gordonii,0.8884,0.0,0.0,0.014,uniform
Clostridium botulinum,0.8585,0.0,1e-05,0.014,uniform
Sinorhizobium medicae,0.8214,0.0,4e-05,0.178,uniform
Actinobacillus succinogenes,0.8465,0.0,1e-05,0.017,uniform
Phenylobacterium zucineum,0.9733,0.0,1e-05,0.276,uniform
Marinomonas sp,0.8372,0.0,1e-05,0.01,uniform
Kineococcus radiotolerans,0.961,0.0,1e-05,0.331,uniform
Bacillus cytotoxicus,0.8818,0.0,1e-05,0.013,uniform
Campylobacter curvus,0.925,0.0,2e-05,0.231,uniform
Anaeromyxobacter sp,0.8995,0.0,2e-05,0.26,uniform
Fervidobacterium nodosum,0.9025,0.0,2e-05,0.176,uniform
Parvibaculum lavamentivorans,0.9257,0.0,2e-05,0.119,uniform
Campylobacter hominis,0.8259,0.0,3e-05,0.145,uniform
Leptospira biflexa,0.8827,0.0,1e-05,0.024,uniform
Xanthobacter autotrophicus,0.6976,0.0,2e-05,0.057,uniform
Cronobacter sakazakii,0.927,0.0,1e-05,0.083,uniform
Vibrio campbellii,0.8701,0.0,2e-05,0.068,uniform
Campylobacter concisus,0.8341,0.0,1e-05,0.04,uniform
Roseiflexus castenholzii,0.8942,0.0,1e-05,0.056,uniform
